Lat,Lon,LatWGS84,LonWGS84,LocationName,StationID,ObsTime,ELEV,WDIR,WDSD,Temp,HUMD,PRES,H24R,H_FX,H_XD,D_TX,D_TN,City,CitySn,Town,TownSn,InfoTime,InfoDate
24.578356,121.487153,24.57653333,121.4953333,土場,C0UA00,2021/12/13 14:00,392,124,1,15.8,0.95,977.1,11,,,16.4,14.6,宜蘭縣,7,大同鄉,81,2021/12/13 14:00,2021/12/13
24.459339,118.320831,24.45770278,118.3289889,金寧,C0W150,2021/12/13 8:00,42,47,9.7,15.9,0.65,1020.9,0,15.2,47,17.2,15.5,金門縣,99,金寧鄉,999,2021/12/13 8:00,2021/12/13
22.596589,120.952772,22.59478889,120.960825,金峰嘉蘭,C0S920,2021/12/13 10:00,98,125,1.7,23.3,0.58,1005.5,0,,,23.7,16.8,臺東縣,22,金峰鄉,352,2021/12/13 10:00,2021/12/13
22.596589,120.952772,22.59478889,120.960825,金峰嘉蘭,C0S920,2021/12/13 18:00,98,97,0.7,20.9,0.69,1004,0,,,24.2,16.8,臺東縣,22,金峰鄉,352,2021/12/13 18:00,2021/12/13
24.692389,121.009083,24.6905,121.0171889,峨眉,C0D430,2021/12/13 1:00,87,24,0.6,17.5,0.88,1010.8,0,7.6,29,18,17.5,新竹縣,10,峨眉鄉,83,2021/12/13 1:00,2021/12/13
24.439167,121.373333,24.43741944,121.3816694,南山,C0U720,2021/12/13 8:00,1260,0,0,11,1,897,4.5,,,11.2,10.7,宜蘭縣,7,大同鄉,81,2021/12/13 8:00,2021/12/13
24.308961,121.761903,24.30716944,121.7700694,和平,C0Z230,2021/12/13 15:00,31,11,8.7,19.6,0.81,1018.2,0,,,20.4,18.7,花蓮縣,21,秀林鄉,108,2021/12/13 15:00,2021/12/13
23.022142,121.315558,23.02033333,121.3236417,都歷,C0SA30,2021/12/13 18:00,92,355,3.5,20.2,0.75,1011.1,0,,,22.8,19.1,臺東縣,22,成功鎮,258,2021/12/13 18:00,2021/12/13
24.635528,121.7855,24.633725,121.7936972,冬山,C0U910,2021/12/13 12:00,17,251,2.2,17.1,0.99,1021.9,25,,,17.4,16.6,宜蘭縣,7,冬山鄉,87,2021/12/13 12:00,2021/12/13
22.469778,120.574833,22.46794722,120.5828944,新埤,C0R550,2021/12/13 8:00,38,346,1.4,18.8,1,1015,0,,,19.9,17.1,屏東縣,20,新埤鄉,336,2021/12/13 8:00,2021/12/13
25.059108,121.4924,25.05737778,121.500625,三重,C0AI30,2021/12/13 12:00,26,93,4.8,18.2,0.82,1021.1,0,,,18.9,17.5,新北市,6,三重區,25,2021/12/13 12:00,2021/12/13
23.691389,120.842778,23.68969444,120.8510361,信義,C0I080,2021/12/13 6:00,536,0,0,13.6,0.84,961.3,0,,,15.2,13.4,南投縣,13,信義鄉,175,2021/12/13 6:00,2021/12/13
22.026433,120.685536,22.02463333,120.69355,大坪頂,C0R730,2021/12/13 15:00,163,62,6,23,0.68,998.5,0,13,64,24.4,19.7,屏東縣,20,恆春鎮,350,2021/12/13 15:00,2021/12/13
22.798844,120.286889,22.79707778,120.2949583,岡山,C0V660,2021/12/13 9:00,25,360,4,19.2,0.8,1018.5,0,,,19.2,17,高雄市,5,岡山區,294,2021/12/13 9:00,2021/12/13
23.553497,120.420331,23.55174167,120.4284444,民雄,C0M760,2021/12/13 4:00,40,358,0.9,16.9,0.9,1014.6,0,,,17.1,16.6,嘉義縣,17,民雄鄉,213,2021/12/13 4:00,2021/12/13
22.731944,120.338583,22.73030556,120.3466389,大社,C0V770,2021/12/13 11:00,26,318,1.7,23.2,0.63,1016.4,0,,,23.2,17,高雄市,5,大社區,304,2021/12/13 11:00,2021/12/13
22.536139,120.531972,22.53436111,120.54,潮州,C0R220,2021/12/13 11:00,23,243,1.9,24.4,0.68,1016.7,0,,,24.4,18.6,屏東縣,20,潮州鎮,332,2021/12/13 11:00,2021/12/13
24.592053,121.404039,24.59026944,121.4122278,鴛鴦湖,C0UA10,2021/12/13 9:00,1711,0,0,8.3,0.99,839.5,27.5,,,8.4,7.7,宜蘭縣,7,大同鄉,81,2021/12/13 9:00,2021/12/13
24.3704,121.365011,24.36861389,121.3731889,多加屯,C0UA20,2021/12/13 3:00,2619,23,0.8,2.6,1,740.1,2,,,2.9,2.3,宜蘭縣,7,大同鄉,81,2021/12/13 3:00,2021/12/13
24.710833,120.880833,24.70897778,120.8888972,竹南,C0E420,2021/12/13 1:00,19,35,5.4,16.7,0.92,1018.2,0,,,18,16.7,苗栗縣,11,竹南鎮,79,2021/12/13 1:00,2021/12/13
22.961306,120.361194,22.95954722,120.3693167,崎頂,C0O960,2021/12/13 0:00,112,7,1.5,16.9,1,1005.9,0,,,27,16.9,臺南市,4,龍崎區,273,2021/12/13 0:00,2021/12/13
25.133889,121.600278,25.13215278,121.6086917,五指山,C0A870,2021/12/13 16:00,685,76,8.6,12.8,1,940.4,0,,,14.2,12.7,新北市,6,汐止區,14,2021/12/13 16:00,2021/12/13
23.298339,120.377492,23.29658056,120.3855917,東河,C0X050,2021/12/13 0:00,25,34,1.7,15.7,0.9,1016,0,,,27.4,15.7,臺南市,4,東山區,236,2021/12/13 0:00,2021/12/13
25.284903,121.510814,25.28312778,121.5190583,白沙灣,C0AI20,2021/12/13 18:00,25,63,8.4,17.2,0.84,1019.3,5.5,14.4,61,18.9,16.9,新北市,6,石門區,1,2021/12/13 18:00,2021/12/13
23.7575,120.310833,23.75555,120.318925,崙背,C0K250,2021/12/13 3:00,12,27,3.4,17.3,0.87,1018.2,0,,,17.8,17.3,雲林縣,16,崙背鄉,181,2021/12/13 3:00,2021/12/13
23.175,120.136667,23.17303889,120.1450861,佳里,C0X080,2021/12/13 6:00,2,20,3.6,17.4,0.85,1019.6,0,,,17.8,17.2,臺南市,4,佳里區,250,2021/12/13 6:00,2021/12/13
22.798844,120.286889,22.79707778,120.2949583,岡山,C0V660,2021/12/13 14:00,25,5,2.1,26.3,0.49,1014.7,0,,,26.3,17,高雄市,5,岡山區,294,2021/12/13 14:00,2021/12/13
22.805944,120.347444,22.80419444,120.3555278,阿公店,C0V400,2021/12/13 9:00,56,24,1.9,19,0.84,1013.5,0,,,19,16.7,高雄市,5,燕巢區,296,2021/12/13 9:00,2021/12/13
22.856639,120.251361,22.85499722,120.2594389,路竹,C0V750,2021/12/13 15:00,50,339,2.2,25.9,0.54,1010.8,0,,,27,17.6,高雄市,5,路竹區,288,2021/12/13 15:00,2021/12/13
24.032075,120.541314,24.03032222,120.5494611,花壇,C0G910,2021/12/13 5:00,42,354,3.8,18.5,0.82,1013.2,0,,,19.3,18.5,彰化縣,14,花壇鄉,146,2021/12/13 5:00,2021/12/13
23.494642,121.298764,23.49284167,121.3068833,瑞穗林道,C0Z250,2021/12/13 14:00,1124,341,0.6,12.4,0.99,895.6,1.5,,,13.9,11.1,花蓮縣,21,卓溪鄉,207,2021/12/13 14:00,2021/12/13
24.3704,121.365011,24.36861389,121.3731889,多加屯,C0UA20,2021/12/13 6:00,2619,286,0.4,2.5,1,740.5,6,,,2.9,2.3,宜蘭縣,7,大同鄉,81,2021/12/13 6:00,2021/12/13
23.77455,120.400811,23.77279722,120.4089444,二崙,C0K440,2021/12/13 2:00,35,3,3.5,17.2,0.81,1015.5,0,,,17.3,16.8,雲林縣,16,二崙鄉,180,2021/12/13 2:00,2021/12/13
22.590417,120.277889,22.5886,120.2859444,旗津,C0V500,2021/12/13 4:00,6,10,1.4,17.5,0.81,1016.8,0,,,18.4,17.5,高雄市,5,旗津區,329,2021/12/13 4:00,2021/12/13
24.035,121.173333,24.03331111,121.1818083,廬山,C0I010,2021/12/13 0:00,1562,86,1.1,11.7,0.61,852.7,0,,,19.9,9.6,南投縣,13,仁愛鄉,122,2021/12/13 0:00,2021/12/13
23.104417,120.219972,23.10261389,120.2278389,安定,C0X150,2021/12/13 10:00,18,36,4.1,21.1,0.75,1019.9,0,,,21.1,17,臺南市,4,安定區,261,2021/12/13 10:00,2021/12/13
25.177333,121.514167,25.175675,121.5224083,大屯山,C0AC40,2021/12/13 13:00,1079,75,5,10.7,1,898.7,15,16.5,65,11.2,9.6,臺北市,1,北投區,6,2021/12/13 13:00,2021/12/13
23.456944,121.486667,23.45516667,121.4950278,靜浦,C0T9M0,2021/12/13 10:00,92,344,2.8,19.9,0.84,1013.9,0.5,9.7,329,20.3,18.3,花蓮縣,21,豐濱鄉,188,2021/12/13 10:00,2021/12/13
24.688722,121.790222,24.68636944,121.7979444,五結,C0U780,2021/12/13 11:00,15,346,1.4,16.4,0.97,1023.5,32,,,16.6,15.6,宜蘭縣,7,五結鄉,82,2021/12/13 11:00,2021/12/13
24.974944,121.436917,24.97320833,121.4451694,土城,C0AD40,2021/12/13 19:00,32,53,2.8,17.4,0.86,1018.7,0,,,18.2,16.4,新北市,6,土城區,49,2021/12/13 19:00,2021/12/13
23.684706,121.519219,23.68294722,121.5274,加路蘭山,C0T9H0,2021/12/13 7:00,725,33,5.6,14,1,940.1,0.5,11.9,18,14.8,14,花蓮縣,21,豐濱鄉,188,2021/12/13 7:00,2021/12/13
24.894711,121.316761,24.89293611,121.324975,大溪永福,C0C710,2021/12/13 2:00,143,127,1.4,16,0.99,1007.9,0.5,,,16.1,15.9,桃園市,8,大溪區,60,2021/12/13 2:00,2021/12/13
22.884944,120.319528,22.88320833,120.3275083,阿蓮,C0V530,2021/12/13 7:00,34,18,1.7,17,0.92,1015.2,0,,,17.9,16.9,高雄市,5,阿蓮區,287,2021/12/13 7:00,2021/12/13
23.882433,121.573839,23.88062778,121.5819806,大坑,C0T9E0,2021/12/13 18:00,415,23,1.7,16.2,0.95,974.3,0,,,17.8,15.7,花蓮縣,21,壽豐鄉,161,2021/12/13 18:00,2021/12/13
