ObsTime,WDIR,WDSD,Temp,HUMD,PRES,StationID
2021/12/12 0:00,19,1.7,20.1,0.97,1019.5,C0G870
2021/12/12 0:00,0,0,19.7,0.91,974.4,C0U750
2021/12/12 0:00,24,6.2,17,1,1017.5,C0W170
2021/12/12 0:00,89,3.1,23.4,0.64,1012.9,C0R740
2021/12/12 0:00,16,3.2,17.7,0.96,1015,C0K450
2021/12/12 0:00,0,0.2,17,0.87,985.7,CM0180
2021/12/12 0:00,305,2.3,20.8,0.8,1010.9,C0T9M0
2021/12/12 0:00,197,7.4,4.7,0.03,643.7,C0I520
2021/12/12 0:00,58,2.7,19.3,0.89,1010,C0D650
2021/12/12 0:00,239,2.6,18.3,0.84,981.9,C0Z270
2021/12/12 0:00,54,1,17.5,1,1015.6,C0X320
2021/12/12 0:00,17,1.7,18.1,0.97,1018.3,C0O900
2021/12/12 0:00,346,2.3,19.6,0.9,1014.7,C0V810
2021/12/12 0:00,204,0.5,17.2,0.89,995.4,C0D540
2021/12/12 0:00,258,0.6,18.1,0.93,1005,C0SA80
2021/12/12 0:00,224,0.8,22.2,0.78,996.2,C0S910
2021/12/12 0:00,314,1.1,21.8,0.71,1016.7,C0S960
2021/12/12 0:00,24,4.5,19.8,0.93,1018.6,C0X290
2021/12/12 0:00,6,2.7,19.6,0.92,1017.2,C0V670
2021/12/12 0:00,54,1.3,17.8,0.99,985,C0F000
2021/12/12 0:00,334,1.4,19.9,0.92,1020.2,C0A980
2021/12/12 0:00,9,1,18.6,0.95,1018.6,C0K550
2021/12/12 0:00,41,1.2,20.4,0.87,1016,C0R540
2021/12/12 0:00,46,0.9,22.2,0.73,1018.8,CM0140
2021/12/12 0:00,0,0,14.7,0.71,925.7,C0E610
2021/12/12 0:00,0,0.2,18.4,1,1010.1,C0G880
2021/12/12 0:00,315,0.8,14.1,0.52,907.8,C0R100
2021/12/12 0:00,266,1.3,4.2,0.98,777.7,C0S750
2021/12/12 0:00,24,1.7,19.6,0.96,1015.6,C0F9K0
2021/12/12 0:00,24,1.4,17.6,0.97,1015.7,C0X260
2021/12/12 0:00,176,0.5,17.8,0.99,1014.4,C0R190
2021/12/12 0:00,70,1.9,17,0.92,984.8,C0I360
2021/12/12 0:00,69,8.1,22.4,0.77,1018.1,C0R320
2021/12/12 0:00,0,0,16.4,0.96,988.8,C0S740
