Lat,Lon,LatWGS84,LonWGS84,LocationName,StationID,ObsTime,ELEV,WDIR,WDSD,Temp,HUMD,PRES,H24R,H_FX,H_XD,D_TX,D_TN,City,CitySn,Town,TownSn,InfoTime,InfoDate
22.956258,121.221844,22.95445278,121.2299222,七塊厝,C0S950,2021/12/15 15:00,415,50,0.6,21.2,0.88,968.9,6.5,,,21.5,17.1,臺東縣,22,東河鄉,264,2021/12/15 15:00,2021/12/15
22.610825,120.977275,22.60902222,120.9853278,太麻里,C0S690,2021/12/15 7:00,522,0,0.2,18.4,0.9,959.5,7.5,,,18.5,17,臺東縣,22,太麻里鄉,312,2021/12/15 7:00,2021/12/15
22.993514,120.285431,22.99175,120.293525,媽廟,C0O990,2021/12/15 11:00,18,356,1.1,24.3,0.84,1015.2,0,,,24.3,17.9,臺南市,4,歸仁區,271,2021/12/15 11:00,2021/12/15
24.930528,121.275,24.92870833,121.2832889,八德,C0C490,2021/12/15 0:00,157,198,0.6,18.6,0.83,999.4,0,,,25.4,16.8,桃園市,8,八德區,52,2021/12/15 0:00,2021/12/15
25.088528,121.464056,25.08659444,121.4723306,蘆洲,C0AD30,2021/12/15 6:00,20,171,1.5,20.5,0.81,1014.1,0,,,22.2,20.3,新北市,6,蘆洲區,23,2021/12/15 6:00,2021/12/15
22.170192,120.8332,22.16838889,120.841225,牡丹池山,C0R840,2021/12/15 0:00,536,54,3.9,17.5,1,957.5,14.5,,,18,16.1,屏東縣,20,牡丹鄉,347,2021/12/15 0:00,2021/12/15
23.848356,120.374339,23.84661111,120.3824611,竹塘,C0G750,2021/12/15 4:00,31,0,0.2,17.6,0.95,1014.7,0,,,19.3,17.4,彰化縣,14,竹塘鄉,172,2021/12/15 4:00,2021/12/15
24.2201,121.680972,24.21829444,121.6891417,清水斷崖,C0Z310,2021/12/15 4:00,59,221,1,19.6,0.99,1012.6,0.5,,,19.6,19.1,花蓮縣,21,秀林鄉,108,2021/12/15 4:00,2021/12/15
23.288611,121.403889,23.28681667,121.411975,長濱,C0S830,2021/12/15 8:00,288,294,1.3,18.2,0.99,989,10.5,,,18.4,17.6,臺東縣,22,長濱鄉,227,2021/12/15 8:00,2021/12/15
23.764722,120.677778,23.761225,120.6881556,竹山,C0I110,2021/12/15 2:00,161,0,0,17.2,0.93,998.1,0,,,18.1,17.2,南投縣,13,竹山鎮,178,2021/12/15 2:00,2021/12/15
23.762947,120.494247,23.76119167,120.5023722,莿桐,C0K480,2021/12/15 5:00,56,346,0.4,17.6,0.99,1010.8,0,,,19.3,17.3,雲林縣,16,莿桐鄉,185,2021/12/15 5:00,2021/12/15
25.050492,121.542203,25.04871111,121.5504278,松山,C0AH70,2021/12/15 17:00,34,79,2,24.5,0.57,1011.6,0,,,28,19.7,臺北市,1,松山區,31,2021/12/15 17:00,2021/12/15
22.072925,120.756094,22.07112222,120.7641111,保力,C0R770,2021/12/15 12:00,93,74,3.3,24.5,0.77,1005.9,0.5,9.2,119,24.8,20.2,屏東縣,20,車城鄉,349,2021/12/15 12:00,2021/12/15
25.004489,121.620106,25.00270278,121.6283278,深坑,C0AH80,2021/12/15 3:00,68,347,0.3,18.4,0.91,1008.9,0,,,21.7,18.4,新北市,6,深坑區,44,2021/12/15 3:00,2021/12/15
21.995386,120.853619,21.99357778,120.8616333,佳樂水,C0R680,2021/12/15 13:00,13,48,4.4,24.9,0.78,1014.6,9.5,12.1,72,25.1,21,屏東縣,20,滿州鄉,348,2021/12/15 13:00,2021/12/15
22.744444,120.735556,22.74290833,120.7436778,阿禮,C0R130,2021/12/15 8:00,1040,80,1.2,18.1,0.54,900.5,0,,,18.1,15.5,屏東縣,20,霧臺鄉,292,2021/12/15 8:00,2021/12/15
25.019167,121.934167,25.01784167,121.9420833,福隆,C0A880,2021/12/15 6:00,6,0,0.2,19.2,1,1016.3,1,,,19.5,18.5,新北市,6,貢寮區,27,2021/12/15 6:00,2021/12/15
22.586642,120.535392,22.58486111,120.5434417,竹田,C0R650,2021/12/15 11:00,29,278,1.7,26.3,0.61,1013.8,0,,,26.3,18.7,屏東縣,20,竹田鄉,322,2021/12/15 11:00,2021/12/15
24.688722,121.790222,24.68636944,121.7979444,五結,C0U780,2021/12/15 12:00,15,347,0.7,21.3,0.82,1017.2,0,,,21.3,17.9,宜蘭縣,7,五結鄉,82,2021/12/15 12:00,2021/12/15
23.173442,121.241286,23.17163889,121.2493778,富里,C0T9N0,2021/12/15 1:00,261,0,0.2,18.3,0.99,990.3,0,,,18.4,18.3,花蓮縣,21,富里鄉,241,2021/12/15 1:00,2021/12/15
24.979428,121.248156,24.97766111,121.256375,中壢,C0C700,2021/12/15 2:00,151,210,0.6,18.5,0.8,1000.7,0,,,19,18.5,桃園市,8,中壢區,43,2021/12/15 2:00,2021/12/15
23.538014,120.1612,23.53626667,120.1693111,宜梧,C0K291,2021/12/15 8:00,8,39,1.4,20,0.94,1018.2,0,,,20.1,18.7,雲林縣,16,口湖鄉,201,2021/12/15 8:00,2021/12/15
23.349228,120.406328,23.34746667,120.4144278,白河,C0X210,2021/12/15 0:00,38,59,0.8,18.4,0.98,1011.9,0,,,26.9,14.3,臺南市,4,白河區,228,2021/12/15 0:00,2021/12/15
23.587147,120.547464,23.58538611,120.5555806,嘉義梅山,C0M770,2021/12/15 2:00,164,50,0.3,17.6,0.96,998.2,0,,,17.9,17.5,嘉義縣,17,梅山鄉,210,2021/12/15 2:00,2021/12/15
24.349556,120.697472,24.34781667,120.7056861,外埔,C0F9Q0,2021/12/15 2:00,149,147,1.3,17.1,0.84,999.7,0,,,17.4,17,臺中市,2,外埔區,110,2021/12/15 2:00,2021/12/15
23.114444,120.289444,23.11288333,120.2972194,善化,C0O900,2021/12/15 11:00,9,3,1.3,24,0.76,1016.5,0,,,24,17.5,臺南市,4,善化區,255,2021/12/15 11:00,2021/12/15
24.489931,118.400617,24.48829167,118.4087778,金沙,C0W140,2021/12/15 17:00,21,97,5.1,19.5,0.81,1014,0,,,22.5,16,金門縣,99,金沙鎮,999,2021/12/15 17:00,2021/12/15
23.574658,120.237839,23.57291111,120.2459556,水林,C0K510,2021/12/15 18:00,10,10,2.2,20.3,0.88,1013.7,0,,,25.3,18.3,雲林縣,16,水林鄉,204,2021/12/15 18:00,2021/12/15
22.972778,120.531778,22.97100278,120.5398528,月眉,C0V260,2021/12/15 7:00,126,135,0.3,16.1,0.98,1003.1,0,,,17.7,16,高雄市,5,杉林區,269,2021/12/15 7:00,2021/12/15
22.904381,121.075983,22.90258056,121.0840583,延平,C0S930,2021/12/15 2:00,248,111,0.3,18.5,0.97,991.2,0,,,18.9,18.5,臺東縣,22,延平鄉,280,2021/12/15 2:00,2021/12/15
25.966883,119.9724,25.96519722,119.9806861,東莒,C0W110,2021/12/15 10:00,16,7,5.4,17.5,0.86,1019.4,0,,,17.5,16.2,連江縣,99,莒光鄉,999,2021/12/15 10:00,2021/12/15
23.879222,120.506528,23.87758611,120.5142222,北斗,C0G840,2021/12/15 4:00,32,0,0,17.3,0.85,1012.5,0,,,19,17.3,彰化縣,14,北斗鎮,171,2021/12/15 4:00,2021/12/15
23.223828,120.392758,23.22206389,120.40085,王爺宮,C0O840,2021/12/15 16:00,134,286,2.4,24.5,0.76,997.3,0,,,27.1,16.9,臺南市,4,六甲區,243,2021/12/15 16:00,2021/12/15
